Fetching page 1 (initial)
Episode 1: 330707613 (episode=unchanged, transcript=unchanged)
Episode 537: 104424976 (episode=new, transcript=new)
Episode 538: 104321463 (episode=new, transcript=new)
Episode 539: 104215342 (episode=new, transcript=new)
Episode 540: 104117680 (episode=new, transcript=new)
Episode 541: 104020806 (episode=new, transcript=new)
Episode 542: 103908297 (episode=new, transcript=new)
Episode 543: 103824705 (episode=new, transcript=new)
Episode 544: 103724914 (episode=new, transcript=new)
Episode 545: 103611471 (episode=new, transcript=new)
Episode 546: 103540303 (episode=new, transcript=new)
Episode 547: 103425853 (episode=new, transcript=new)
Episode 548: 103311117 (episode=new, transcript=new)
Episode 549: 103226693 (episode=new, transcript=new)
Episode 550: 103117303 (episode=new, transcript=new)
Episode 551: 102987806 (episode=new, transcript=new)
Episode 552: 102941231 (episode=new, transcript=new)
Episode 553: 102882999 (episode=new, transcript=new)
Episode 554: 102834082 (episode=new, transcript=new)
Episode 555: 102783386 (episode=new, transcript=new)
Episode 556: 102740713 (episode=new, transcript=new)
Episode 557: 102697562 (episode=new, transcript=new)
Episode 558: 102616716 (episode=new, transcript=new)
Episode 559: 102526199 (episode=new, transcript=new)
Episode 560: 102420080 (episode=new, transcript=new)
Episode 561: 102342182 (episode=new, transcript=new)
Episode 562: 102251387 (episode=new, transcript=new)
Episode 563: 102154123 (episode=new, transcript=new)
Episode 564: 102083774 (episode=new, transcript=new)
Episode 565: 101993663 (episode=new, transcript=new)
Episode 566: 101895754 (episode=new, transcript=new)
Episode 567: 101819157 (episode=new, transcript=new)
Episode 568: 101725720 (episode=new, transcript=new)
Episode 569: 101660358 (episode=new, transcript=new)
Episode 570: 101567850 (episode=new, transcript=new)
Episode 571: 101483642 (episode=new, transcript=new)
Episode 572: 101384404 (episode=new, transcript=new)
Episode 573: 101309382 (episode=new, transcript=new)
Episode 574: 101214668 (episode=new, transcript=new)
Episode 575: 101100156 (episode=new, transcript=new)
Episode 576: 101042094 (episode=new, transcript=new)
Episode 577: 100947827 (episode=new, transcript=new)
Episode 578: 100870636 (episode=new, transcript=new)
Episode 579: 100785313 (episode=new, transcript=new)
Episode 580: 100695753 (episode=new, transcript=new)
Episode 581: 99897174 (episode=new, transcript=new)
Episode 582: 99803358 (episode=new, transcript=new)
Episode 583: 99759984 (episode=new, transcript=new)
Episode 584: 99739175 (episode=new, transcript=new)
Episode 585: 99680484 (episode=new, transcript=new)
Episode 586: 99608274 (episode=new, transcript=new)
Episode 587: 99475974 (episode=new, transcript=new)
Episode 588: 99385772 (episode=new, transcript=new)
Episode 589: 99304866 (episode=new, transcript=new)
Episode 590: 99211510 (episode=new, transcript=new)
Episode 591: 99138608 (episode=new, transcript=new)
Episode 592: 99056594 (episode=new, transcript=new)
Episode 593: 98967269 (episode=new, transcript=new)
Episode 594: 98896577 (episode=new, transcript=new)
Episode 595: 98810181 (episode=new, transcript=new)
Episode 596: 98731198 (episode=new, transcript=new)
Episode 597: 98640870 (episode=new, transcript=new)
Episode 598: 98589352 (episode=new, transcript=new)
Episode 599: 98553663 (episode=new, transcript=new)
Episode 600: 98463063 (episode=new, transcript=new)
Fetching page 7 (AAAABwEAAAAJc3RhcnREYXRlAAAABGRlc2P_AAAAAAXebVcAAAGBdBzmYA)
Episode 601: 98394748 (episode=new, transcript=new)
Episode 602: 98294742 (episode=new, transcript=new)
Episode 603: 98175073 (episode=new, transcript=new)
Episode 604: 98097266 (episode=new, transcript=new)
Episode 605: 98000112 (episode=new, transcript=new)
Episode 606: 97891932 (episode=new, transcript=new)
Episode 607: 97809067 (episode=new, transcript=new)
Episode 608: 97698676 (episode=new, transcript=new)
Episode 609: 97587742 (episode=new, transcript=new)
Episode 610: 97497556 (episode=new, transcript=new)
Episode 611: 97388173 (episode=new, transcript=new)
Episode 612: 97241611 (episode=new, transcript=new)
Episode 613: 97123296 (episode=new, transcript=new)
Episode 614: 97005743 (episode=new, transcript=new)
Episode 615: 96887986 (episode=new, transcript=new)
Episode 616: 96802990 (episode=new, transcript=new)
Episode 617: 96695551 (episode=new, transcript=new)
Episode 618: 96573126 (episode=new, transcript=new)
Episode 619: 96487984 (episode=new, transcript=new)
Episode 620: 96381558 (episode=new, transcript=new)
Episode 621: 96261582 (episode=new, transcript=new)
Episode 622: 96176587 (episode=new, transcript=new)
Episode 623: 96069010 (episode=new, transcript=new)
Episode 624: 95952953 (episode=new, transcript=new)
Episode 625: 95866997 (episode=new, transcript=new)
Episode 626: 95764373 (episode=new, transcript=new)
Episode 627: 95654036 (episode=new, transcript=new)
Episode 628: 95575848 (episode=new, transcript=new)
Episode 629: 95432845 (episode=new, transcript=new)
Episode 630: 95308964 (episode=new, transcript=new)
Episode 631: 95217862 (episode=new, transcript=new)
Episode 632: 95115760 (episode=new, transcript=new)
Episode 633: 94996153 (episode=new, transcript=new)
Episode 634: 94899290 (episode=new, transcript=new)
Episode 635: 94813303 (episode=new, transcript=new)
Episode 636: 94771258 (episode=new, transcript=new)
Episode 637: 94576769 (episode=new, transcript=new)
Episode 638: 94482857 (episode=new, transcript=new)
Episode 639: 98580452 (episode=new, transcript=new)
Episode 640: 94353287 (episode=new, transcript=new)
Episode 641: 94268769 (episode=new, transcript=new)
Episode 642: 94160733 (episode=new, transcript=new)
Episode 643: 98580470 (episode=new, transcript=new)
Episode 644: 94038666 (episode=new, transcript=new)
Episode 645: 93952841 (episode=new, transcript=new)
Episode 646: 93852606 (episode=new, transcript=new)
Episode 647: 98580460 (episode=new, transcript=new)
Episode 648: 93722028 (episode=new, transcript=new)
Episode 649: 93635278 (episode=new, transcript=new)
Episode 650: 93526364 (episode=new, transcript=new)
Episode 651: 98580459 (episode=new, transcript=new)
Episode 652: 93415526 (episode=new, transcript=new)
Episode 653: 93335984 (episode=new, transcript=new)
Episode 654: 93238989 (episode=new, transcript=new)
Episode 655: 98580465 (episode=new, transcript=new)
Episode 656: 93126357 (episode=new, transcript=new)
Episode 657: 93039393 (episode=new, transcript=new)
Episode 658: 92933789 (episode=new, transcript=new)
Episode 659: 98580464 (episode=new, transcript=new)
Episode 660: 92813269 (episode=new, transcript=new)
Episode 661: 92729117 (episode=new, transcript=new)
Episode 662: 92631859 (episode=new, transcript=new)
Episode 663: 92510192 (episode=new, transcript=new)
Episode 664: 98580467 (episode=new, transcript=new)
Episode 665: 92423951 (episode=new, transcript=new)
Episode 666: 92316027 (episode=new, transcript=new)
Episode 667: 98580469 (episode=new, transcript=new)
Episode 668: 92194581 (episode=new, transcript=new)
Episode 669: 92109341 (episode=new, transcript=new)
Episode 670: 92013545 (episode=new, transcript=new)
Episode 671: 91907399 (episode=new, transcript=new)
Episode 672: 98580453 (episode=new, transcript=new)
Episode 673: 91828257 (episode=new, transcript=new)
Episode 674: 91735187 (episode=new, transcript=new)
Episode 675: 91627617 (episode=new, transcript=new)
Episode 676: 98580454 (episode=new, transcript=new)
Episode 677: 91550264 (episode=new, transcript=new)
Episode 678: 91442618 (episode=new, transcript=new)
Episode 679: 91333950 (episode=new, transcript=new)
Episode 680: 98580457 (episode=new, transcript=new)
Episode 681: 91263135 (episode=new, transcript=new)
Episode 682: 91182397 (episode=new, transcript=new)
Episode 683: 91071459 (episode=new, transcript=new)
Episode 684: 98580455 (episode=new, transcript=new)
Episode 685: 90819915 (episode=new, transcript=new)
Episode 686: 90739356 (episode=new, transcript=new)
Episode 687: 90559135 (episode=new, transcript=new)
Episode 688: 90475835 (episode=new, transcript=new)
Episode 689: 90635234 (episode=new, transcript=new)
Episode 690: 98580458 (episode=new, transcript=new)
Episode 691: 90350878 (episode=new, transcript=new)
Episode 692: 98580477 (episode=new, transcript=new)
Episode 693: 90276347 (episode=new, transcript=new)
Episode 694: 90181213 (episode=new, transcript=new)
Episode 695: 98580456 (episode=new, transcript=new)
Episode 696: 90070145 (episode=new, transcript=new)
Episode 697: 89994378 (episode=new, transcript=new)
Episode 698: 89890804 (episode=new, transcript=new)
Episode 699: 89802318 (episode=new, transcript=new)
Episode 700: 98580475 (episode=new, transcript=new)
Fetching page 8 (AAAACAEAAAAJc3RhcnREYXRlAAAABGRlc2P_AAAAAAXgN_sAAAF9YeRtoA)
Episode 701: 89638921 (episode=new, transcript=new)
Episode 702: 89528940 (episode=new, transcript=new)
Episode 703: 98580463 (episode=new, transcript=new)
Episode 704: 89431711 (episode=new, transcript=new)
Episode 705: 89337179 (episode=new, transcript=new)
Episode 706: 89251276 (episode=new, transcript=new)
Episode 707: 98580462 (episode=new, transcript=new)
Episode 708: 89131652 (episode=new, transcript=new)
Episode 709: 89037430 (episode=new, transcript=new)
Episode 710: 88926009 (episode=new, transcript=new)
Episode 711: 98580461 (episode=new, transcript=new)
Episode 712: 88845149 (episode=new, transcript=new)
Episode 713: 88746625 (episode=new, transcript=new)
Episode 714: 88635387 (episode=new, transcript=new)
Episode 715: 98580466 (episode=new, transcript=new)
Episode 716: 88545148 (episode=new, transcript=new)
Episode 717: 88448642 (episode=new, transcript=new)
Episode 718: 88388677 (episode=new, transcript=new)
Episode 719: 88342729 (episode=new, transcript=new)
Episode 720: 98580468 (episode=new, transcript=new)
Episode 721: 88263136 (episode=new, transcript=new)
Episode 722: 88171082 (episode=new, transcript=new)
Episode 723: 88074754 (episode=new, transcript=new)
Episode 724: 98580471 (episode=new, transcript=new)
Episode 725: 88001002 (episode=new, transcript=new)
Episode 726: 87912518 (episode=new, transcript=new)
Episode 727: 87811656 (episode=new, transcript=new)
Episode 728: 98580472 (episode=new, transcript=new)
Episode 729: 87739607 (episode=new, transcript=new)
Episode 730: 87651429 (episode=new, transcript=new)
Episode 731: 87556924 (episode=new, transcript=new)
Episode 732: 98580474 (episode=new, transcript=new)
Episode 733: 87485583 (episode=new, transcript=new)
Episode 734: 87401051 (episode=new, transcript=new)
Episode 735: 87304079 (episode=new, transcript=new)
Episode 736: 98580473 (episode=new, transcript=new)
Episode 737: 87232343 (episode=new, transcript=new)
Episode 738: 87188235 (episode=new, transcript=new)
Episode 739: 87145628 (episode=new, transcript=new)
Episode 740: 87051571 (episode=new, transcript=new)
Episode 741: 98580476 (episode=new, transcript=new)
Episode 742: 86975601 (episode=new, transcript=new)
Episode 743: 86893095 (episode=new, transcript=new)
Episode 744: 86733182 (episode=new, transcript=new)
Episode 745: 86648655 (episode=new, transcript=new)
Episode 746: 86494293 (episode=new, transcript=new)
Episode 747: 86411431 (episode=new, transcript=new)
Episode 748: 86235767 (episode=new, transcript=new)
Episode 749: 86151329 (episode=new, transcript=new)
Episode 750: 85997877 (episode=new, transcript=new)
Episode 751: 85922527 (episode=new, transcript=new)
Episode 752: 85769420 (episode=new, transcript=new)
Episode 753: 85687280 (episode=new, transcript=new)
Episode 754: 85534685 (episode=new, transcript=new)
Episode 755: 85469009 (episode=new, transcript=new)
Episode 756: 85308611 (episode=new, transcript=new)
Episode 757: 85225376 (episode=new, transcript=new)
Episode 758: 85136954 (episode=new, transcript=new)
Episode 759: 85073119 (episode=new, transcript=new)
Episode 760: 84996177 (episode=new, transcript=new)
Episode 761: 84906343 (episode=new, transcript=new)
Episode 762: 84823055 (episode=new, transcript=new)
Episode 763: 84743834 (episode=new, transcript=new)
Episode 764: 84644692 (episode=new, transcript=new)
Episode 765: 84563385 (episode=new, transcript=new)
Episode 766: 84479235 (episode=new, transcript=new)
Episode 767: 84387019 (episode=new, transcript=new)
Episode 768: 84310436 (episode=new, transcript=new)
Episode 769: 84227953 (episode=new, transcript=new)
Episode 770: 84138164 (episode=new, transcript=new)
Episode 771: 84067156 (episode=new, transcript=new)
Episode 772: 83976934 (episode=new, transcript=new)
Episode 773: 83879514 (episode=new, transcript=new)
Episode 774: 83806379 (episode=new, transcript=new)
Episode 775: 83715310 (episode=new, transcript=new)
Episode 776: 83628594 (episode=new, transcript=new)
Episode 777: 83514887 (episode=new, transcript=new)
Episode 778: 83430559 (episode=new, transcript=new)
Episode 779: 83337832 (episode=new, transcript=new)
Episode 780: 83269234 (episode=new, transcript=new)
Episode 781: 83187144 (episode=new, transcript=new)
Episode 782: 83034284 (episode=new, transcript=new)
Episode 783: 82926985 (episode=new, transcript=new)
Episode 784: 82762499 (episode=new, transcript=new)
Episode 785: 82717401 (episode=new, transcript=new)
Episode 786: 82673758 (episode=new, transcript=new)
Episode 787: 82492562 (episode=new, transcript=new)
Episode 788: 82410850 (episode=new, transcript=new)
Episode 789: 82245525 (episode=new, transcript=new)
Episode 790: 81965684 (episode=new, transcript=new)
Episode 791: 81783955 (episode=new, transcript=new)
Episode 792: 81686298 (episode=new, transcript=new)
Episode 793: 81516648 (episode=new, transcript=new)
Episode 794: 81426004 (episode=new, transcript=new)
Episode 795: 81258185 (episode=new, transcript=new)
Episode 796: 81171247 (episode=new, transcript=new)
Episode 797: 81005035 (episode=new, transcript=new)
Episode 798: 80544161 (episode=new, transcript=new)
Episode 799: 80395542 (episode=new, transcript=new)
Episode 800: 80313813 (episode=new, transcript=new)
Fetching page 9 (AAAACQEAAAAJc3RhcnREYXRlAAAABGRlc2P_AAAAAATJfdUAAAF4gbenAA)
Episode 801: 80140495 (episode=new, transcript=new)
Episode 802: 80041704 (episode=new, transcript=new)
Episode 803: 79831622 (episode=new, transcript=new)
Episode 804: 79733300 (episode=new, transcript=new)
Episode 805: 79507469 (episode=new, transcript=new)
Episode 806: 79392356 (episode=new, transcript=new)
Episode 807: 78453143 (episode=new, transcript=new)
Episode 808: 78348443 (episode=new, transcript=new)
Episode 809: 78107911 (episode=new, transcript=new)
Episode 810: 78006084 (episode=new, transcript=new)
Episode 811: 77792295 (episode=new, transcript=new)
Episode 812: 77702683 (episode=new, transcript=new)
Episode 813: 77646474 (episode=new, transcript=new)
Episode 814: 77503096 (episode=new, transcript=new)
Episode 815: 77390979 (episode=new, transcript=new)
Episode 816: 77137164 (episode=new, transcript=new)
Episode 817: 77039938 (episode=new, transcript=new)
Episode 818: 76980718 (episode=new, transcript=new)
Episode 819: 76855632 (episode=new, transcript=new)
Episode 820: 76754174 (episode=new, transcript=new)
Episode 821: 76687705 (episode=new, transcript=new)
Episode 822: 76519827 (episode=new, transcript=new)
Episode 823: 76418530 (episode=new, transcript=new)
Episode 824: 76365336 (episode=new, transcript=new)
Episode 825: 76288807 (episode=new, transcript=new)
Episode 826: 76250367 (episode=new, transcript=new)
Episode 827: 76233330 (episode=new, transcript=new)
Episode 828: 76153958 (episode=new, transcript=new)
Episode 829: 75956003 (episode=new, transcript=new)
Episode 830: 75866248 (episode=new, transcript=new)
Episode 831: 75838412 (episode=new, transcript=new)
Episode 832: 75545132 (episode=new, transcript=new)
Episode 833: 75468315 (episode=new, transcript=new)
Episode 834: 75410368 (episode=new, transcript=new)
Episode 835: 75279292 (episode=new, transcript=new)
Episode 836: 75193831 (episode=new, transcript=new)
Episode 837: 75181191 (episode=new, transcript=new)
Episode 838: 75001998 (episode=new, transcript=new)
Episode 839: 74898248 (episode=new, transcript=new)
Episode 840: 74824980 (episode=new, transcript=new)
Episode 841: 74671796 (episode=new, transcript=new)
Episode 842: 74588162 (episode=new, transcript=new)
Episode 843: 74559679 (episode=new, transcript=new)
Episode 844: 74448072 (episode=new, transcript=new)
Episode 845: 74363081 (episode=new, transcript=new)
Episode 846: 74157341 (episode=new, transcript=new)
Episode 847: 74003926 (episode=new, transcript=new)
Episode 848: 73752044 (episode=new, transcript=new)
Episode 849: 73581384 (episode=new, transcript=new)
Episode 850: 73290874 (episode=new, transcript=new)
Episode 851: 73104714 (episode=new, transcript=new)
Episode 852: 73004015 (episode=new, transcript=new)
Episode 853: 72770473 (episode=new, transcript=new)
Episode 854: 72855753 (episode=new, transcript=new)
Episode 855: 72623237 (episode=new, transcript=new)
Episode 856: 72548148 (episode=new, transcript=new)
Episode 857: 72378058 (episode=new, transcript=new)
Episode 858: 72268571 (episode=new, transcript=new)
Episode 859: 72115701 (episode=new, transcript=new)
Episode 860: 72039112 (episode=new, transcript=new)
Episode 861: 71869965 (episode=new, transcript=new)
Episode 862: 71796243 (episode=new, transcript=new)
Episode 863: 71599099 (episode=new, transcript=new)
Episode 864: 71503766 (episode=new, transcript=new)
Episode 865: 71316801 (episode=new, transcript=new)
Episode 866: 71162898 (episode=new, transcript=new)
Episode 867: 71019037 (episode=new, transcript=new)
Episode 868: 70890436 (episode=new, transcript=new)
Episode 869: 70687758 (episode=new, transcript=new)
Episode 870: 70553705 (episode=new, transcript=new)
Episode 871: 70416626 (episode=new, transcript=new)
Episode 872: 70346499 (episode=new, transcript=new)
Episode 873: 70173692 (episode=new, transcript=new)
Episode 874: 69913143 (episode=new, transcript=new)
Episode 875: 69755319 (episode=new, transcript=new)
Episode 876: 69435764 (episode=new, transcript=new)
Episode 877: 69141311 (episode=new, transcript=new)
Episode 878: 68845749 (episode=new, transcript=new)
Episode 879: 68752308 (episode=new, transcript=new)
Episode 880: 68561955 (episode=new, transcript=new)
Episode 881: 68407468 (episode=new, transcript=new)
Episode 882: 67748870 (episode=new, transcript=new)
Episode 883: 67258550 (episode=new, transcript=new)
Episode 884: 66048223 (episode=new, transcript=new)
Episode 885: 65862640 (episode=new, transcript=new)
Episode 886: 65501443 (episode=new, transcript=new)
Episode 887: 65331090 (episode=new, transcript=new)
Episode 888: 64414794 (episode=new, transcript=new)
Episode 889: 63913529 (episode=new, transcript=new)
Episode 890: 63868739 (episode=new, transcript=new)
Episode 891: 63733235 (episode=new, transcript=new)
Episode 892: 63654459 (episode=new, transcript=new)
Episode 893: 63472403 (episode=new, transcript=new)
Episode 894: 63419860 (episode=new, transcript=new)
Episode 895: 63257870 (episode=new, transcript=new)
Episode 896: 63111183 (episode=new, transcript=new)
Episode 897: 63023336 (episode=new, transcript=new)
Episode 898: 62817080 (episode=new, transcript=new)
Episode 899: 62723282 (episode=new, transcript=new)
Episode 900: 62550558 (episode=new, transcript=new)
Fetching page 10 (AAAACgEAAAAJc3RhcnREYXRlAAAABGRlc2P_AAAAAAO6ch4AAAFyEcSnAA)
Episode 901: 62435640 (episode=new, transcript=new)
Episode 902: 62193612 (episode=new, transcript=new)
Episode 903: 62099602 (episode=new, transcript=new)
Episode 904: 61910261 (episode=new, transcript=new)
Episode 905: 61828953 (episode=new, transcript=new)
Episode 906: 61580818 (episode=new, transcript=new)
Episode 907: 61485728 (episode=new, transcript=new)
Episode 908: 61278515 (episode=new, transcript=new)
Episode 909: 61199349 (episode=new, transcript=new)
Episode 910: 61158053 (episode=new, transcript=new)
Episode 911: 61013395 (episode=new, transcript=new)
Episode 912: 60785432 (episode=new, transcript=new)
Episode 913: 60519454 (episode=new, transcript=new)
Episode 914: 60391595 (episode=new, transcript=new)
Episode 915: 60028498 (episode=new, transcript=new)
Episode 916: 59859137 (episode=new, transcript=new)
Episode 917: 59630169 (episode=new, transcript=new)
Episode 918: 59572757 (episode=new, transcript=new)
Episode 919: 59399788 (episode=new, transcript=new)
Episode 920: 59110100 (episode=new, transcript=new)
Episode 921: 58986784 (episode=new, transcript=new)
Episode 922: 58717745 (episode=new, transcript=new)
Episode 923: 58601829 (episode=new, transcript=new)
Episode 924: 58332562 (episode=new, transcript=new)
Episode 925: 58178031 (episode=new, transcript=new)
Episode 926: 57909235 (episode=new, transcript=new)
Episode 927: 57767517 (episode=new, transcript=new)
Episode 928: 57512419 (episode=new, transcript=new)
Episode 929: 57388596 (episode=new, transcript=new)
Episode 930: 57114487 (episode=new, transcript=new)
Episode 931: 56993757 (episode=new, transcript=new)
Episode 932: 56652188 (episode=new, transcript=new)
Episode 933: 56505454 (episode=new, transcript=new)
Episode 934: 56233303 (episode=new, transcript=new)
Episode 935: 56106119 (episode=new, transcript=new)
Episode 936: 55806281 (episode=new, transcript=new)
Episode 937: 55594943 (episode=new, transcript=new)
Episode 938: 55268117 (episode=new, transcript=new)
Episode 939: 55213274 (episode=new, transcript=new)
Episode 940: 54993079 (episode=new, transcript=new)
Episode 941: 54640136 (episode=new, transcript=new)
Episode 942: 54239183 (episode=new, transcript=new)
Episode 943: 54136534 (episode=new, transcript=new)
Episode 944: 53948699 (episode=new, transcript=new)
Episode 945: 53810839 (episode=new, transcript=new)
Episode 946: 53485013 (episode=new, transcript=new)
Episode 947: 53399911 (episode=new, transcript=new)
Episode 948: 53130938 (episode=new, transcript=new)
Episode 949: 52946402 (episode=new, transcript=new)
Episode 950: 52852939 (episode=new, transcript=new)
Episode 951: 52653860 (episode=new, transcript=new)
Episode 952: 52504610 (episode=new, transcript=new)
Episode 953: 52303272 (episode=new, transcript=new)
Episode 954: 52193639 (episode=new, transcript=new)
Episode 955: 51993311 (episode=new, transcript=new)
Episode 956: 51966343 (episode=new, transcript=new)
Episode 957: 51901308 (episode=new, transcript=new)
Episode 958: 51694945 (episode=new, transcript=new)
Episode 959: 51588800 (episode=new, transcript=new)
Episode 960: 51298729 (episode=new, transcript=new)
Episode 961: 51116807 (episode=new, transcript=new)
Episode 962: 50619833 (episode=new, transcript=new)
Episode 963: 50418883 (episode=new, transcript=new)
Episode 964: 50192435 (episode=new, transcript=new)
Episode 965: 49878882 (episode=new, transcript=new)
Episode 966: 49724166 (episode=new, transcript=new)
Episode 967: 49618265 (episode=new, transcript=new)
Episode 968: 49170938 (episode=new, transcript=new)
Episode 969: 49100596 (episode=new, transcript=new)
Episode 970: 48939152 (episode=new, transcript=new)
Episode 971: 48738069 (episode=new, transcript=new)
Episode 972: 48562360 (episode=new, transcript=new)
Episode 973: 48498573 (episode=new, transcript=new)
Episode 974: 48388817 (episode=new, transcript=new)
Episode 975: 48340274 (episode=new, transcript=new)
Episode 976: 48295545 (episode=new, transcript=new)
Episode 977: 48239926 (episode=new, transcript=new)
Episode 978: 47968261 (episode=new, transcript=new)
Episode 979: 47892270 (episode=new, transcript=new)
Episode 980: 47762767 (episode=new, transcript=new)
Episode 981: 47550575 (episode=new, transcript=new)
Episode 982: 47468826 (episode=new, transcript=new)
Episode 983: 47361516 (episode=new, transcript=new)
Episode 984: 47350224 (episode=new, transcript=new)
Episode 985: 47285518 (episode=new, transcript=new)
Episode 986: 47170732 (episode=new, transcript=new)
Episode 987: 47116977 (episode=new, transcript=new)
Episode 988: 46995048 (episode=new, transcript=new)
Episode 989: 46938125 (episode=new, transcript=new)
Episode 990: 46822390 (episode=new, transcript=new)
Episode 991: 46765887 (episode=new, transcript=new)
Episode 992: 46664174 (episode=new, transcript=new)
Episode 993: 46596998 (episode=new, transcript=new)
Episode 994: 46536749 (episode=new, transcript=new)
Episode 995: 46474776 (episode=new, transcript=new)
Episode 996: 46402507 (episode=new, transcript=new)
Episode 997: 46259210 (episode=new, transcript=new)
Episode 998: 46192912 (episode=new, transcript=new)
Episode 999: 46068820 (episode=new, transcript=new)
Episode 1000: 45900112 (episode=new, transcript=new)
Fetching page 11 (AAAACwEAAAAJc3RhcnREYXRlAAAABGRlc2P_AAAAAAK8YVAAAAFrRR8vAA)
Episode 1001: 45757120 (episode=new, transcript=new)
Episode 1002: 45678854 (episode=new, transcript=new)
Episode 1003: 45470887 (episode=new, transcript=new)
Episode 1004: 43577076 (episode=new, transcript=new)
Episode 1005: 43107826 (episode=new, transcript=new)
Episode 1006: 42988604 (episode=new, transcript=new)
Episode 1007: 42707818 (episode=new, transcript=new)
Episode 1008: 42477830 (episode=new, transcript=new)
Episode 1009: 31598654 (episode=new, transcript=new)
Episode 1010: 31177923 (episode=new, transcript=new)
Episode 1011: 31167249 (episode=new, transcript=new)
Episode 1012: 30972239 (episode=new, transcript=new)
Episode 1013: 30906006 (episode=new, transcript=new)
Episode 1014: 30850375 (episode=new, transcript=new)
Episode 1015: 30841678 (episode=new, transcript=new)
Episode 1016: 30831039 (episode=new, transcript=new)
Episode 1017: 30815917 (episode=new, transcript=new)
Episode 1018: 30810369 (episode=new, transcript=new)
Episode 1019: 30800055 (episode=new, transcript=new)
Episode 1020: 30779865 (episode=new, transcript=new)
Episode 1021: 30769947 (episode=new, transcript=new)
Episode 1022: 30751090 (episode=new, transcript=new)
Episode 1023: 30741224 (episode=new, transcript=new)
Episode 1024: 30721718 (episode=new, transcript=new)
Episode 1025: 30710425 (episode=new, transcript=new)
Episode 1026: 30690189 (episode=new, transcript=new)
Episode 1027: 30684940 (episode=new, transcript=new)
Episode 1028: 30679620 (episode=new, transcript=new)
Episode 1029: 30657912 (episode=new, transcript=new)
Episode 1030: 30646724 (episode=new, transcript=new)
Episode 1031: 30623400 (episode=new, transcript=new)
Episode 1032: 30612148 (episode=new, transcript=new)
Episode 1033: 30593031 (episode=new, transcript=new)
Episode 1034: 30587764 (episode=new, transcript=new)
Episode 1035: 30580537 (episode=new, transcript=new)
Episode 1036: 30561914 (episode=new, transcript=new)
Episode 1037: 30546784 (episode=new, transcript=new)
Episode 1038: 30526863 (episode=new, transcript=new)
Episode 1039: 30513545 (episode=new, transcript=new)
Episode 1040: 30480711 (episode=new, transcript=new)
Episode 1041: 30459723 (episode=new, transcript=new)
Episode 1042: 30447555 (episode=new, transcript=new)
Episode 1043: 30429682 (episode=new, transcript=new)
Episode 1044: 30423810 (episode=new, transcript=new)
Episode 1045: 30417725 (episode=new, transcript=new)
Episode 1046: 30397358 (episode=new, transcript=new)
Episode 1047: 30386657 (episode=new, transcript=new)
Episode 1048: 30369022 (episode=new, transcript=new)
Episode 1049: 30360795 (episode=new, transcript=new)
Episode 1050: 30343294 (episode=new, transcript=new)
Episode 1051: 30327577 (episode=new, transcript=new)
Episode 1052: 30315546 (episode=new, transcript=new)
Episode 1053: 30294593 (episode=new, transcript=new)
Episode 1054: 30282720 (episode=new, transcript=new)
Episode 1055: 30262748 (episode=new, transcript=new)
Episode 1056: 30250740 (episode=new, transcript=new)
Episode 1057: 30221915 (episode=new, transcript=new)
Episode 1058: 30217960 (episode=new, transcript=new)
Episode 1059: 30210131 (episode=new, transcript=new)
Episode 1060: 30179619 (episode=new, transcript=new)
Episode 1061: 30155613 (episode=new, transcript=new)
Episode 1062: 30150547 (episode=new, transcript=new)
Episode 1063: 30145884 (episode=new, transcript=new)
Episode 1064: 30121805 (episode=new, transcript=new)
Episode 1065: 30110960 (episode=new, transcript=new)
Episode 1066: 30087857 (episode=new, transcript=new)
Episode 1067: 30075059 (episode=new, transcript=new)
Episode 1068: 30052983 (episode=new, transcript=new)
Episode 1069: 30046180 (episode=new, transcript=new)
Episode 1070: 30040997 (episode=new, transcript=new)
Episode 1071: 30018254 (episode=new, transcript=new)
Episode 1072: 30004354 (episode=new, transcript=new)
Episode 1073: 29978657 (episode=new, transcript=new)
Episode 1074: 29967299 (episode=new, transcript=new)
Episode 1075: 29942308 (episode=new, transcript=new)
Episode 1076: 29931720 (episode=new, transcript=new)
Episode 1077: 29910452 (episode=new, transcript=new)
Episode 1078: 29902437 (episode=new, transcript=new)
Episode 1079: 29870956 (episode=new, transcript=new)
Episode 1080: 29865989 (episode=new, transcript=new)
Episode 1081: 29860451 (episode=new, transcript=new)
Episode 1082: 29840326 (episode=new, transcript=new)
Episode 1083: 29830205 (episode=new, transcript=new)
Episode 1084: 29810445 (episode=new, transcript=new)
Episode 1085: 29798452 (episode=new, transcript=new)
Episode 1086: 29774315 (episode=new, transcript=new)
Episode 1087: 29751052 (episode=new, transcript=new)
Episode 1088: 29745220 (episode=new, transcript=new)
Episode 1089: 29740645 (episode=new, transcript=new)
Episode 1090: 29720529 (episode=new, transcript=new)
Episode 1091: 29710683 (episode=new, transcript=new)
Episode 1092: 29679571 (episode=new, transcript=new)
Episode 1093: 29662670 (episode=new, transcript=new)
Episode 1094: 29652888 (episode=new, transcript=new)
Episode 1095: 29632792 (episode=new, transcript=new)
Episode 1096: 29625604 (episode=new, transcript=new)
Episode 1097: 29599662 (episode=new, transcript=new)
Episode 1098: 29583907 (episode=new, transcript=new)
Episode 1099: 29572171 (episode=new, transcript=new)
